country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-14T00:00:00Z;-14;3;NA;-18;-23;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-15T00:00:00Z;-23;9;NA;-12;-26;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-16T00:00:00Z;-21;7;NA;-7;-22;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-17T00:00:00Z;-21;7;NA;-5;-24;9
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-18T00:00:00Z;-26;7;NA;2;-23;10
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-19T00:00:00Z;-26;12;NA;16;-23;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-20T00:00:00Z;-58;NA;NA;-14;-29;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-21T00:00:00Z;3;21;NA;-22;-30;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-22T00:00:00Z;-7;36;NA;-9;-34;10
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-23T00:00:00Z;-11;50;NA;-9;-41;11
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-24T00:00:00Z;-60;-21;NA;-44;-79;24
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-25T00:00:00Z;-91;-95;NA;-61;-88;24
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-26T00:00:00Z;-87;-95;NA;-59;-60;15
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-27T00:00:00Z;-66;NA;NA;-38;-36;7
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-28T00:00:00Z;-66;-11;NA;-53;-67;23
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-29T00:00:00Z;-64;-5;NA;-49;-68;21
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-30T00:00:00Z;-63;18;NA;-47;-68;20
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-12-31T00:00:00Z;-70;-5;NA;-55;-78;22
AT;Austria;Lower Austria;NA;NA;NA;NA;2021-01-01T00:00:00Z;-91;-96;NA;-74;-89;30
AT;Austria;Lower Austria;NA;NA;NA;NA;2021-01-02T00:00:00Z;-79;-19;NA;-47;-42;14
AT;Austria;Lower Austria;NA;NA;NA;NA;2021-01-03T00:00:00Z;-64;NA;NA;-21;-33;9
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-15T00:00:00Z;17;6;73;23;4;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-16T00:00:00Z;20;NA;59;28;2;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-17T00:00:00Z;10;6;44;8;4;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-18T00:00:00Z;9;7;37;9;3;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-19T00:00:00Z;-1;3;21;-1;2;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-20T00:00:00Z;6;4;41;8;3;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-21T00:00:00Z;1;6;10;5;3;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-22T00:00:00Z;17;5;92;23;1;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-23T00:00:00Z;7;NA;-8;16;1;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-24T00:00:00Z;9;7;18;2;4;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-25T00:00:00Z;16;12;59;11;2;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-26T00:00:00Z;-6;13;9;-3;0;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-27T00:00:00Z;1;11;25;0;2;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-28T00:00:00Z;1;12;1;-3;2;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-02-29T00:00:00Z;4;5;40;2;0;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-01T00:00:00Z;5;NA;21;10;2;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-02T00:00:00Z;12;10;49;6;4;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-03T00:00:00Z;5;5;12;1;3;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-04T00:00:00Z;2;4;25;2;1;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-05T00:00:00Z;9;4;37;4;1;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-06T00:00:00Z;3;6;3;4;2;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-07T00:00:00Z;9;2;28;2;-1;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-08T00:00:00Z;22;NA;47;18;-2;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-09T00:00:00Z;12;6;17;3;3;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-10T00:00:00Z;13;14;48;5;1;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-11T00:00:00Z;-1;22;21;-5;0;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-12T00:00:00Z;2;35;61;-2;-2;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-13T00:00:00Z;-11;58;1;-14;-5;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-14T00:00:00Z;-21;0;37;-23;-6;7
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-15T00:00:00Z;-47;NA;14;-26;-17;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-16T00:00:00Z;-63;-4;-8;-54;-42;18
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-17T00:00:00Z;-73;-21;-15;-62;-55;24
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-18T00:00:00Z;-74;-21;12;-61;-58;24
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-19T00:00:00Z;-73;-18;14;-62;-59;25
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-20T00:00:00Z;-77;-17;27;-58;-59;25
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-21T00:00:00Z;-88;-31;-56;-66;-50;19
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-22T00:00:00Z;-86;NA;-44;-67;-47;NA
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-23T00:00:00Z;-74;-23;-36;-69;-60;24
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-24T00:00:00Z;-76;-24;-5;-65;-61;26
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-25T00:00:00Z;-78;-30;-36;-70;-62;28
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-26T00:00:00Z;-76;-20;-13;-67;-61;27
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-27T00:00:00Z;-75;-17;18;-60;-60;26
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-28T00:00:00Z;-78;-24;61;-47;-45;15
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-29T00:00:00Z;-80;NA;-13;-54;-47;NA
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-30T00:00:00Z;-75;-23;-31;-67;-58;23
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-03-31T00:00:00Z;-72;-16;-19;-64;-59;25
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-01T00:00:00Z;-71;-20;6;-61;-60;25
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-02T00:00:00Z;-70;-18;12;-60;-60;25
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-03T00:00:00Z;-73;-15;6;-60;-60;25
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-04T00:00:00Z;-77;-23;16;-50;-44;16
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-05T00:00:00Z;-73;NA;30;-37;-42;NA
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-06T00:00:00Z;-64;-16;21;-56;-58;21
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-07T00:00:00Z;-67;-13;41;-57;-60;23
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-08T00:00:00Z;-68;-13;33;-56;-60;23
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-09T00:00:00Z;-66;-4;38;-56;-60;23
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-10T00:00:00Z;-69;-7;35;-57;-63;24
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-11T00:00:00Z;-74;-15;45;-46;-39;14
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-12T00:00:00Z;-75;NA;29;-40;-36;NA
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-13T00:00:00Z;-82;-93;40;-73;-88;30
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-14T00:00:00Z;-54;-7;-16;-58;-55;22
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-15T00:00:00Z;-51;-12;22;-54;-53;21
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-16T00:00:00Z;-53;-6;44;-48;-53;20
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-17T00:00:00Z;-56;-5;46;-48;-53;20
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-18T00:00:00Z;-61;-12;71;-37;-34;12
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-19T00:00:00Z;-82;NA;-39;-55;-40;NA
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-20T00:00:00Z;-43;-13;45;-47;-49;17
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-21T00:00:00Z;-48;-5;52;-45;-49;19
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-22T00:00:00Z;-49;-10;57;-50;-49;19
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-23T00:00:00Z;-49;-4;50;-45;-50;19
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-24T00:00:00Z;-53;-3;45;-48;-50;19
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-25T00:00:00Z;-57;-7;69;-36;-28;11
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-26T00:00:00Z;-59;NA;77;-22;-27;NA
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-27T00:00:00Z;-39;-9;44;-44;-46;16
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-28T00:00:00Z;-45;-5;60;-42;-47;17
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-29T00:00:00Z;-51;5;-11;-48;-47;19
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-04-30T00:00:00Z;-25;32;44;-42;-46;15
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-01T00:00:00Z;-69;-89;94;-59;-83;27
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-02T00:00:00Z;-28;15;86;-23;-16;7
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-03T00:00:00Z;-62;NA;9;-26;-25;NA
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-04T00:00:00Z;-10;2;51;-34;-38;12
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-05T00:00:00Z;-23;6;19;-41;-40;15
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-06T00:00:00Z;-24;4;22;-37;-40;14
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-07T00:00:00Z;-21;6;61;-34;-39;13
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-08T00:00:00Z;-25;7;73;-31;-40;12
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-09T00:00:00Z;-28;9;102;-9;-10;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-10T00:00:00Z;-44;NA;49;-2;-6;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-11T00:00:00Z;-18;-7;44;-36;-34;12
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-12T00:00:00Z;-26;1;46;-34;-36;13
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-13T00:00:00Z;-27;-1;24;-37;-37;14
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-14T00:00:00Z;-26;3;31;-37;-37;14
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-15T00:00:00Z;-20;-1;-19;-41;-37;14
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-16T00:00:00Z;-11;-5;95;-9;-3;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-17T00:00:00Z;-8;NA;104;1;-3;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-18T00:00:00Z;9;-3;78;-23;-28;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-19T00:00:00Z;6;1;79;-25;-28;9
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-20T00:00:00Z;9;35;66;-19;-30;7
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-21T00:00:00Z;-23;-86;195;-46;-80;22
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-22T00:00:00Z;1;10;83;-26;-43;11
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-23T00:00:00Z;-16;-5;45;-27;-7;6
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-24T00:00:00Z;-21;NA;41;-11;-6;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-25T00:00:00Z;-7;-4;-1;-27;-28;9
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-26T00:00:00Z;-12;-3;2;-29;-27;11
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-27T00:00:00Z;-3;-3;84;-22;-26;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-28T00:00:00Z;-8;2;8;-29;-28;10
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-29T00:00:00Z;-7;7;33;-24;-27;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-30T00:00:00Z;-5;6;90;-12;5;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-05-31T00:00:00Z;-35;NA;-47;-36;-6;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-01T00:00:00Z;0;-86;NA;-41;-78;18
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-02T00:00:00Z;9;17;66;-22;-31;7
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-03T00:00:00Z;-6;0;22;-24;-25;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-04T00:00:00Z;7;5;69;-16;-23;6
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-05T00:00:00Z;-3;5;25;-21;-24;7
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-06T00:00:00Z;11;-4;183;0;11;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-07T00:00:00Z;8;NA;86;0;13;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-08T00:00:00Z;7;-1;33;-19;-24;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-09T00:00:00Z;10;5;53;-20;-25;6
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-10T00:00:00Z;7;28;13;-18;-26;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-11T00:00:00Z;-6;-86;NA;-41;-76;18
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-12T00:00:00Z;8;8;105;-20;-40;6
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-13T00:00:00Z;-2;-5;140;1;10;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-14T00:00:00Z;-15;NA;-21;-17;13;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-15T00:00:00Z;12;0;52;-15;-22;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-16T00:00:00Z;12;2;70;-13;-22;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-17T00:00:00Z;10;-1;64;-15;-23;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-18T00:00:00Z;4;-2;49;-19;-23;6
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-19T00:00:00Z;5;0;76;-11;-23;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-20T00:00:00Z;-12;-8;14;-12;3;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-21T00:00:00Z;-29;NA;-40;-25;-2;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-22T00:00:00Z;12;-5;68;-16;-24;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-23T00:00:00Z;16;-1;113;-14;-23;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-24T00:00:00Z;9;-5;81;-16;-21;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-25T00:00:00Z;10;-1;59;-17;-24;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-26T00:00:00Z;6;-1;68;-16;-23;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-27T00:00:00Z;2;-7;111;4;7;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-28T00:00:00Z;8;NA;66;11;13;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-29T00:00:00Z;7;-6;32;-18;-23;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-06-30T00:00:00Z;24;4;108;-12;-21;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-01T00:00:00Z;12;2;61;-13;-21;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-02T00:00:00Z;14;1;71;-14;-22;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-03T00:00:00Z;21;3;75;-1;-25;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-04T00:00:00Z;8;-5;128;13;6;-3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-05T00:00:00Z;9;NA;63;21;17;-4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-06T00:00:00Z;16;-1;62;-19;-29;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-07T00:00:00Z;18;2;86;-18;-31;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-08T00:00:00Z;13;-4;83;-21;-30;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-09T00:00:00Z;11;-1;74;-20;-30;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-10T00:00:00Z;-2;-1;73;-17;-31;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-11T00:00:00Z;-13;-2;-1;-10;-8;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-12T00:00:00Z;19;NA;87;23;4;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-13T00:00:00Z;23;2;84;-15;-30;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-14T00:00:00Z;16;3;111;-17;-32;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-15T00:00:00Z;14;4;80;-18;-31;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-16T00:00:00Z;9;1;57;-22;-33;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-17T00:00:00Z;3;2;52;-21;-33;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-18T00:00:00Z;-9;-6;37;-3;-6;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-19T00:00:00Z;12;NA;67;16;3;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-20T00:00:00Z;19;1;101;-11;-30;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-21T00:00:00Z;15;2;100;-17;-31;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-22T00:00:00Z;14;2;92;-18;-31;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-23T00:00:00Z;14;-1;98;-14;-31;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-24T00:00:00Z;-1;1;50;-17;-33;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-25T00:00:00Z;7;-5;156;14;-3;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-26T00:00:00Z;8;NA;76;30;6;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-27T00:00:00Z;17;-2;89;-14;-36;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-28T00:00:00Z;3;-3;72;-21;-37;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-29T00:00:00Z;12;1;90;-21;-37;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-30T00:00:00Z;12;-1;86;-22;-37;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-07-31T00:00:00Z;2;2;79;-17;-38;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-01T00:00:00Z;-2;-7;119;17;-2;-4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-02T00:00:00Z;11;NA;56;23;5;-3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-03T00:00:00Z;6;-1;6;-25;-41;6
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-04T00:00:00Z;6;1;35;-22;-43;7
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-05T00:00:00Z;-1;-3;8;-26;-42;8
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-06T00:00:00Z;15;-4;102;-17;-41;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-07T00:00:00Z;5;-5;102;-17;-40;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-08T00:00:00Z;-1;-8;109;18;-2;-4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-09T00:00:00Z;7;NA;63;22;4;-4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-10T00:00:00Z;16;-1;66;-16;-38;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-11T00:00:00Z;13;2;87;-18;-39;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-12T00:00:00Z;11;-1;84;-20;-39;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-13T00:00:00Z;6;0;59;-19;-40;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-14T00:00:00Z;6;23;57;-16;-38;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-15T00:00:00Z;-17;-86;123;8;-28;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-16T00:00:00Z;19;NA;67;22;1;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-17T00:00:00Z;NA;10;NA;-14;-34;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-18T00:00:00Z;NA;4;NA;-21;-34;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-19T00:00:00Z;NA;0;NA;-18;-34;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-20T00:00:00Z;NA;-4;NA;-15;-35;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-21T00:00:00Z;NA;-4;NA;-8;-35;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-22T00:00:00Z;NA;-10;NA;NA;NA;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-23T00:00:00Z;NA;NA;NA;NA;NA;-3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-24T00:00:00Z;NA;1;NA;-16;-32;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-25T00:00:00Z;NA;2;NA;-14;-32;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-26T00:00:00Z;NA;-3;NA;-16;-31;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-27T00:00:00Z;NA;2;NA;-19;-34;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-28T00:00:00Z;NA;-1;NA;-12;-32;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-29T00:00:00Z;NA;-7;NA;NA;NA;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-30T00:00:00Z;NA;NA;NA;NA;NA;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-08-31T00:00:00Z;NA;2;NA;-14;-30;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-01T00:00:00Z;NA;0;NA;-20;-32;5
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-02T00:00:00Z;NA;-1;NA;-13;-31;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-03T00:00:00Z;NA;-1;NA;-11;-30;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-04T00:00:00Z;NA;4;NA;-9;-30;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-05T00:00:00Z;NA;-6;NA;NA;NA;-4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-06T00:00:00Z;NA;NA;NA;NA;NA;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-07T00:00:00Z;NA;5;NA;-3;-30;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-08T00:00:00Z;NA;8;NA;NA;-29;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-09T00:00:00Z;NA;1;NA;4;-27;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-10T00:00:00Z;NA;3;NA;3;-28;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-11T00:00:00Z;18;4;73;8;-28;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-12T00:00:00Z;27;-4;156;32;-9;-4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-13T00:00:00Z;35;NA;105;41;-2;-4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-14T00:00:00Z;23;1;72;3;-22;-1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-15T00:00:00Z;20;3;74;1;-24;0
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-16T00:00:00Z;13;1;71;5;-25;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-17T00:00:00Z;4;-2;32;-6;-27;3
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-18T00:00:00Z;9;2;71;-2;-26;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-19T00:00:00Z;13;-8;123;11;-9;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-20T00:00:00Z;26;NA;99;32;-1;-2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-21T00:00:00Z;16;0;61;0;-24;1
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-22T00:00:00Z;12;2;79;0;-24;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-23T00:00:00Z;-2;-2;30;-4;-23;4
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-24T00:00:00Z;5;1;57;-2;-23;2
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-25T00:00:00Z;-16;-2;-24;-9;-24;6
AT;Austria;Lower Austria;NA;NA;NA;NA;2020-09-26T00:00:00Z;-10;-8;17;-13;-16;3
